2015-06-16
Montreal Canadiens,Ottawa Senators,59/50,273/100,197/100
Washington Capitals,New York Islanders,29/25,68/25,203/100
2015-04-17
Anaheim Ducks,Winnipeg Jets,28/25,11/4,41/20
St.Louis Blues,Minnesota Wild,57/50,279/100,2/1
Tampa Bay Lightning,Detroit Red Wings,49/50,73/25,57/25
New York Rangers,Pittsburgh Penguins,91/100,147/50,249/100
2015-04-16
Vancouver Canucks,Calgary Flames,53/50,57/20,43/20
Nashville Predators,Chicago Blackhawks,39/25,127/50,157/100
Montreal Canadiens,Ottawa Senators,23/20,27/10,41/20
Washington Capitals,New York Islanders,59/50,291/100,37/20
2015-04-12
Vancouver Canucks,Edmonton Oilers,3/5,343/100,371/100
Arizona Coyotes,Anaheim Ducks,84/25,329/100,33/50
Colorado Avalanche,Chicago Blackhawks,167/100,127/50,73/50
Dallas Stars,Nashville Predators,117/100,289/100,187/100
Tampa Bay Lightning,Boston Bruins,119/100,271/100,49/25
Buffalo Sabres,Pittsburgh Penguins,128/25,407/100,21/50
Carolina Hurricanes,Detroit Red Wings,13/10,277/100,87/50
Florida Panthers,New Jersey Devils,49/50,137/50,121/50
New York Islanders,Columbus Blue Jackets,99/100,307/100,219/100
Toronto Maple Leafs,Montreal Canadiens,129/50,57/20,89/100
2015-04-11
Winnipeg Jets,Calgary Flames,109/100,139/50,211/100
e.fn.e.init[62]
2015-04-11
Los Angeles Kings,San Jose Sharks,21/20,281/100,219/100
St.Louis Blues,Minnesota Wild,101/100,273/100,233/100
Philadelphia Flyers,Ottawa Senators,227/100,279/100,101/100
Washington Capitals,New York Rangers,111/100,273/100,103/50
Columbus Blue Jackets,Buffalo Sabres,9/20,397/100,121/25
Pittsburgh Penguins,New York Islanders,97/100,299/100,57/25
2015-04-10
Vancouver Canucks,Arizona Coyotes,1/2,15/4,109/25
Edmonton Oilers,San Jose Sharks,11/5,303/100,99/100
Calgary Flames,Los Angeles Kings,46/25,27/10,63/50
Colorado Avalanche,Winnipeg Jets,9/4,72/25,101/100
Nashville Predators,Minnesota Wild,99/100,281/100,117/50
St.Louis Blues,Chicago Blackhawks,139/100,51/20,173/100
Florida Panthers,Boston Bruins,2/1,259/100,61/50
Montreal Canadiens,Detroit Red Wings,33/25,271/100,7/4
Tampa Bay Lightning,New Jersey Devils,31/50,327/100,367/100
New York Rangers,Ottawa Senators,31/20,14/5,29/20
Philadelphia Flyers,Carolina Hurricanes,61/50,11/4,47/25
2015-04-09
Anaheim Ducks,Dallas Stars,23/25,147/50,247/100
Washington Capitals,Boston Bruins,159/100,13/5,3/2
Columbus Blue Jackets,Toronto Maple Leafs,19/25,79/25,291/100
2015-04-08
Edmonton Oilers,Los Angeles Kings,19/5,173/50,57/100
Calgary Flames,Arizona Coyotes,12/25,377/100,111/25
Colorado Avalanche,Nashville Predators,207/100,139/50,28/25
Chicago Blackhawks,Minnesota Wild,53/50,66/25,113/50
St.Louis Blues,Winnipeg Jets,23/20,69/25,201/100
Detroit Red Wings,Carolina Hurricanes,13/20,311/100,367/100
Ottawa Senators,Pittsburgh Penguins,71/50,14/5,79/50
New Jersey Devils,New York Rangers,229/100,137/50,103/100
Philadelphia Flyers,New York Islanders,173/100,14/5,129/100
2015-04-07
San Jose Sharks,Dallas Stars,28/25,57/20,2/1
Vancouver Canucks,Los Angeles Kings,39/20,53/20,61/50
Minnesota Wild,Winnipeg Jets,11/10,271/100,43/20
Buffalo Sabres,Carolina Hurricanes,5/2,147/50,9/10
New York Rangers,Columbus Blue Jackets,3/4,313/100,74/25
2015-04-06
Chicago Blackhawks,St.Louis Blues,49/50,137/50,12/5
Toronto Maple Leafs,Ottawa Senators,66/25,299/100,43/50
2015-04-05
Detroit Red Wings,Washington Capitals,59/50,11/4,39/20
Florida Panthers,Montreal Canadiens,211/100,68/25,28/25
Philadelphia Flyers,Pittsburgh Penguins,173/100,69/25,13/10
Edmonton Oilers,Calgary Flames,49/20,307/100,89/100
Los Angeles Kings,Colorado Avalanche,27/50,173/50,437/100
Arizona Coyotes,San Jose Sharks,81/25,33/10,17/25
Nashville Predators,Dallas Stars,83/100,151/50,273/100
Boston Bruins,Toronto Maple Leafs,11/20,351/100,401/100
Florida Panthers,Tampa Bay Lightning,37/25,139/50,77/50
Minnesota Wild,Detroit Red Wings,107/100,68/25,54/25
New York Islanders,Buffalo Sabres,7/20,443/100,123/20
New York Rangers,New Jersey Devils,16/25,317/100,91/25
Ottawa Senators,Washington Capitals,139/100,137/50,41/25
2015-04-04
Winnipeg Jets,Vancouver Canucks,21/20,269/100,221/100
e.fn.e.init[58]
2015-04-04
Columbus Blue Jackets,Pittsburgh Penguins,179/100,283/100,5/4
Carolina Hurricanes,Philadelphia Flyers,61/50,71/25,37/20
Anaheim Ducks,Colorado Avalanche,16/25,17/5,337/100
San Jose Sharks,Arizona Coyotes,49/100,15/4,451/100
Dallas Stars,St.Louis Blues,29/20,139/50,31/20
Buffalo Sabres,Chicago Blackhawks,421/100,177/50,27/50
New Jersey Devils,Montreal Canadiens,211/100,271/100,28/25
2015-04-03
Los Angeles Kings,Edmonton Oilers,43/100,81/20,497/100
Chicago Blackhawks,Vancouver Canucks,93/100,289/100,123/50
Minnesota Wild,New York Rangers,5/4,67/25,37/20
St.Louis Blues,Calgary Flames,53/50,281/100,219/100
Detroit Red Wings,Boston Bruins,161/100,66/25,73/50
Florida Panthers,Carolina Hurricanes,24/25,141/50,61/25
Montreal Canadiens,Washington Capitals,31/25,133/50,191/100
Ottawa Senators,Tampa Bay Lightning,141/100,137/50,161/100
Columbus Blue Jackets,New York Islanders,39/20,143/50,23/20
2015-04-02
San Jose Sharks,Colorado Avalanche,17/20,3/1,53/20
Anaheim Ducks,Edmonton Oilers,53/100,361/100,411/100
Pittsburgh Penguins,Philadelphia Flyers,81/100,61/20,139/50
Buffalo Sabres,Toronto Maple Leafs,93/50,277/100,123/100
2015-04-01
Nashville Predators,Vancouver Canucks,109/100,283/100,211/100
Winnipeg Jets,New York Rangers,153/100,11/4,149/100
Detroit Red Wings,Ottawa Senators,109/100,143/50,103/50
Toronto Maple Leafs,Tampa Bay Lightning,253/100,3/1,87/100
Boston Bruins,Florida Panthers,97/100,279/100,49/20
Columbus Blue Jackets,New Jersey Devils,26/25,68/25,56/25
Washington Capitals,Carolina Hurricanes,81/100,73/25,72/25
2015-03-31
Arizona Coyotes,Buffalo Sabres,43/50,147/50,67/25
Colorado Avalanche,Edmonton Oilers,39/50,153/50,72/25
Chicago Blackhawks,Los Angeles Kings,87/50,257/100,137/100
Dallas Stars,Calgary Flames,1/1,73/25,56/25
St.Louis Blues,Vancouver Canucks,21/20,139/50,217/100
Montreal Canadiens,Tampa Bay Lightning,32/25,11/4,179/100
2015-03-30
Pittsburgh Penguins,San Jose Sharks,9/10,73/25,251/100
Winnipeg Jets,Chicago Blackhawks,77/50,263/100,77/50
New Jersey Devils,Anaheim Ducks,59/25,139/50,49/50
2015-03-29
Carolina Hurricanes,Boston Bruins,107/50,11/4,109/100
Nashville Predators,Calgary Flames,103/100,283/100,111/50
New York Islanders,Detroit Red Wings,29/25,279/100,49/25
Ottawa Senators,Florida Panthers,107/100,69/25,11/5
New York Rangers,Washington Capitals,111/100,269/100,52/25
Vancouver Canucks,Dallas Stars,103/100,73/25,109/50
Colorado Avalanche,Buffalo Sabres,13/25,73/20,427/100
Minnesota Wild,Los Angeles Kings,17/10,257/100,143/100
St.Louis Blues,Columbus Blue Jackets,16/25,82/25,7/2
2015-03-28
Carolina Hurricanes,New Jersey Devils,111/100,67/25,107/50
Montreal Canadiens,Florida Panthers,97/100,277/100,49/20
Toronto Maple Leafs,Ottawa Senators,253/100,307/100,87/100
Detroit Red Wings,Tampa Bay Lightning,34/25,277/100,167/100
Philadelphia Flyers,San Jose Sharks,147/100,273/100,39/25
e.fn.e.init[58]
2015-03-28
Boston Bruins,New York Rangers,38/25,53/20,31/20
New York Islanders,Anaheim Ducks,13/10,71/25,43/25
Pittsburgh Penguins,Arizona Coyotes,23/50,397/100,118/25
Washington Capitals,Nashville Predators,133/100,67/25,44/25
