"Brendan Gallagher" RW 0 0 1 3 14:05
"Tom Gilbert" D 0 0 1 0 22:29
"Manny Malhotra" C 0 0 0 1 13:48
"Andrei Markov" D 0 0 1 1 26:17
"Max Pacioretty" LW 1 0 2 4 18:17
"P.A. Parenteau" LW 0 2 2 1 16:50
"Tomas Plekanec" C 2 0 1 5 15:27
"Brandon Prust" LW 0 0 0 1 13:04
"Jiri Sekac" LW 0 0 -1 0 12:13
"P.K. Subban" D 1 0 1 5 25:45
"Mike Weaver" D 0 0 0 0 13:20
"Dale Weise" RW 0 0 0 2 12:33

"Jonathan Bernier" G 4 32 59:29

"Tyler Bozak" C 1 0 -2 2 21:31
"David Clarkson" RW 0 0 1 1 13:33
"Matt Frattin" RW 0 0 0 0 9:24
"Jake Gardiner" D 0 0 -1 0 19:28
"Peter Holland" C 0 0 0 1 11:01
"Nazem Kadri" C 1 0 -1 3 14:10
"Phil Kessel" RW 0 0 -2 2 20:31
"Leo Komarov" C 0 1 1 2 14:22
"Brandon Kozun" RW 0 1 -1 2 13:22
"Joffrey Lupul" LW 0 1 -1 1 14:43
"Stuart Percy" D 0 1 0 1 20:21
"Dion Phaneuf" D 0 1 -1 0 23:31
"Roman Polak" D 0 0 0 1 17:34
"Morgan Rielly" D 1 0 -1 3 19:03
"Stephane Robidas" D 0 0 -1 0 20:03
"Mike Santorelli" C 0 1 1 3 11:08
"James van Riemsdyk" LW 0 0 -2 3 22:07
"Daniel Winnik" CLW 0 0 0 2 10:39

5 http://www.hockey-reference.com/boxscores/201410090ARI.html 2014-10-09 "Winnipeg Jets" "Arizona Coyotes" 6 2
"Ondrej Pavelec" G 2 28 60:00

"Zach Bogosian" D 0 2 3 2 21:43
"Dustin Byfuglien" D 1 0 3 4 19:19
"Toby Enstrom" D 0 2 2 1 18:57
"Michael Frolik" LW 0 0 0 1 16:11
"T.J. Galiardi" LW 0 0 1 2 14:34
"Evander Kane" LW 0 0 0 0 1:24
"Andrew Ladd" LW 0 1 -1 3 19:22
"Bryan Little" RW 2 0 1 4 19:54
"Adam Lowry" LW 0 0 0 1 12:08
"Adam Pardy" D 0 1 2 1 17:37
"Mathieu Perreault" C 0 1 1 1 14:59
"Paul Postma" D 0 0 2 1 13:32
"Mark Scheifele" C 0 1 2 2 17:23
"Jim Slater" C 0 0 1 0 12:36
"Mark Stuart" D 1 0 -1 1 17:17
"Chris Thorburn" RW 0 0 1 0 12:45
"Jacob Trouba" D 0 0 0 1 24:37
"Blake Wheeler" RW 2 1 2 2 15:42

"Mike Smith" G 6 27 59:58

"Mikkel Boedker" RW 1 0 0 3 16:02
"B.J. Crombeen" RW 0 0 -2 0 9:00
"Shane Doan" RW 0 1 0 3 15:57
"Oliver Ekman-Larsson" D 0 1 -2 2 25:39
"Martin Erat" RW 0 1 -4 1 11:39
"Sam Gagner" C 0 0 -1 3 17:34
"Martin Hanzal" C 1 0 -2 3 15:05
"Rob Klinkhammer" LW 0 0 1 4 11:24
"Lauri Korpikoski" LW 0 0 -1 0 16:49
"Brandon McMillan" LW 0 0 0 0 11:34
"Zbynek Michalek" D 0 1 -1 2 19:40
"Dave Moss" LW 0 0 -2 4 9:37
"Connor Murphy" D 0 0 -1 0 12:47
"Michael Stone" D 0 0 -1 1 21:12
"Chris Summers" D 0 0 -2 0 15:42
"Antoine Vermette" C 0 0 1 0 17:34
"Joe Vitale" C 0 0 -1 0 13:28
"Keith Yandle" D 0 0 -1 2 25:19

6 http://www.hockey-reference.com/boxscores/201410090BUF.html 2014-10-09 "Columbus Blue Jackets" "Buffalo Sabres" 3 1
"Sergei Bobrovsky" G 1 22 59:43

"Artem Anisimov" C 1 0 0 1 18:45
"Cam Atkinson" RW 1 0 0 3 15:38
"Jared Boll" RW 0 1 1 1 8:45
"Matt Calvert" LW 0 0 0 1 15:09
"Michael Chaput" C 0 1 1 1 12:30
"Marko Daňo" C 0 0 0 4 14:33
"Tim Erixon" D 0 0 1 4 17:10
"Nick Foligno" LW 0 1 0 4 15:22
"Scott Hartnell" LW 0 1 0 5 17:54
"Ryan Johansen" C 0 1 0 0 14:02
"Jack Johnson" D 0 0 -1 0 23:37
"Mark Letestu" C 0 0 0 4 15:52
"Dalton Prout" D 0 0 0 1 14:34
"David Savard" D 0 0 -1 0 24:30
"Jack Skille" RW 1 0 1 3 9:58
"Fedor Tyutin" D 0 0 1 1 18:25
"Alexander Wennberg" C 0 1 0 3 17:44
"James Wisniewski" D 0 0 2 4 21:49

"Jhonas Enroth" G 3 40 60:00

"Andre Benoit" D 0 0 -1 2 20:59
"Nicolas Deslauriers" LW 0 0 -1 0 6:55
"Tyler Ennis" C 0 0 -1 1 17:49
"Marcus Foligno" LW 0 1 1 2 17:19
"Brian Gionta" RW 0 0 0 4 15:39
"Zemgus Girgensons" C 1 0 1 2 15:19
"Josh Gorges" D 0 0 0 0 22:03
"Cody Hodgson" C 0 0 0 1 15:00
"Cody McCormick" CRW 0 0 -1 0 10:46
"Andrej Meszaros" D 0 0 -1 0 20:25
"Torrey Mitchell" C 0 0 -1 0 10:22
"Matt Moulson" LW 0 0 -1 3 14:38
"Tyler Myers" D 0 0 0 1 24:21
"Sam Reinhart" C 0 0 0 0 13:37
"Rasmus Ristolainen" D 0 0 0 0 16:04
"Drew Stafford" RW 0 0 -1 1 17:18
"Chris Stewart" RW 0 0 1 5 14:56
"Mike Weber" D 0 0 0 0 16:32

7 http://www.hockey-reference.com/boxscores/201410090DAL.html 2014-10-09 "Chicago Blackhawks" "Dallas Stars" 3 2
"Corey Crawford" G 2 34 65:00

"Bryan Bickell" LW 0 0 0 1 11:49
"Daniel Carcillo" LW 0 0 0 0 4:43
"Niklas Hjalmarsson" D 0 0 0 0 25:06
"Marian Hossa" RW 0 0 1 1 17:29
"Patrick Kane" RW 0 1 -1 5 24:14
"Duncan Keith" D 1 1 0 1 29:40
"Marcus Kruger" C 0 0 0 1 11:54
"Jeremy Morin" LW 0 0 0 2 5:32
"Johnny Oduya" D 0 0 0 1 25:02
"Brad Richards" C 0 0 0 3 14:38
"David Rundblad" D 0 0 0 1 6:25
"Brandon Saad" LW 0 0 -1 0 18:50
"Brent Seabrook" D 0 1 0 1 23:50
"Patrick Sharp" LW 1 1 1 6 19:21
"Andrew Shaw" C 0 0 -1 1 18:33
"Ben Smith" RW 0 0 0 1 16:09
"Jonathan Toews" C 0 0 1 1 22:52
"Trevor van Riemsdyk" D 0 0 0 0 11:43

"Kari Lehtonen" G 2 26 65:00

"Jamie Benn" LW 0 0 0 2 21:50
"Jordie Benn" D 0 0 1 1 23:16
"Kevin Connauton" D 0 0 0 0 9:03
"Trevor Daley" D 1 0 -1 2 24:36
"Brenden Dillon" D 0 0 1 2 23:25
"Cody Eakin" C 1 0 1 4 18:31
"Patrick Eaves" RW 0 0 -1 2 7:29
"Vernon Fiddler" C 0 0 0 2 15:13
"Ryan Garbutt" C 0 1 1 3 16:21
"Alex Goligoski" D 0 0 -1 1 26:12
"Ales Hemsky" RW 0 1 -1 4 15:58
"Shawn Horcoff" C 0 0 0 3 12:19
"Patrik Nemeth" D 0 0 0 0 17:17
"Valeri Nichushkin" RW 0 0 0 1 10:53
"Antoine Roussel" LW 0 1 1 1 18:04
"Colton Sceviour" CRW 0 0 0 3 13:02
"Tyler Seguin" C 0 0 0 1 18:34
"Jason Spezza" C 0 1 -1 2 17:50

8 http://www.hockey-reference.com/boxscores/201410090DET.html 2014-10-09 "Boston Bruins" "Detroit Red Wings" 1 2
"Tuukka Rask" G 2 24 58:06

"Patrice Bergeron" C 1 0 1 1 14:26
"Zdeno Chara" D 0 0 1 6 22:30
"Craig Cunningham" RW 0 0 0 0 10:00
"Loui Eriksson" LW 0 0 -1 0 21:29
"Matt Fraser" LW 0 0 0 0 12:30
