0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.95,0.0473435,0.00789058,0.00789058,0.102578,0,0.0345821,-0.0345821,0.138329,0,0.00609261,0.00609261,0.0792039,0.00835422,0,0,0.133668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.90625,0.0158332,0.0158332,-0.0237498,0.110833,0,0,0,0,0,0,-0.0227359,0.113679,0.00835538,0,-0.0167108,0.0501323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.868421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939394,0,0.0117982,-0.00589912,0.123882,0.0269209,0,0.00673023,0.0201907,0,0,0,0,0,0,0,0.0684248
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.888889,0.0266548,0.0266548,0.0399822,0.146602,0,0,0,0.202446,0.0331126,0.0165563,0.0496689,0.0993377,0.0166528,0.00832639,0.0333056,0.0582848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.866667,0,0,-0.0446927,0.145251,0,0,-0.0414508,0.227979,0,0,-0.0818926,0.0818926,0,0,-0.0503567,0.0587495,0.777778,0,0.0157027,-0.0471081,0.0942162,0.0379987,0.0189994,-0.113996,0.132996,0,0,-0.0404858,0.161943,0.0166228,0,-0.0664912,0.0581798
1,0.958333,0,0,-0.0113701,0.119386,0.0153296,0,0.00510986,0.0766479,0,0.0164654,0.00548847,0.148189,0,0,0,0.0729434,0.931818,0.0239696,0.0119848,0.00399494,0.0759039,0,0.0183993,0,0.0919963,0,0.00299685,-0.00299685,0.0689276,0.00415772,0,0,0.0997852
0,0.92,0.0167738,0.0167738,0.0167738,0.100643,0.0475248,0,0.0237624,0.0712871,0.0145068,0.0290135,0.0145068,0.0870406,0,0,0.0167551,0.0837755,0.954545,0.0321085,0.0107028,0.0107028,0.139137,0.0291121,0.0582242,0.0582242,0.203785,0.0413081,0,0,0.20654,0,0,0.0166551,0.0832755
