48,http://www.hockey-reference.com/boxscores/201410150ARI.html,2014-10-15,Edmonton Oilers,Arizona Coyotes,4,7
49,http://www.hockey-reference.com/boxscores/201410150CHI.html,2014-10-15,Calgary Flames,Chicago Blackhawks,2,1
50,http://www.hockey-reference.com/boxscores/201410150DET.html,2014-10-15,Boston Bruins,Detroit Red Wings,3,2
51,http://www.hockey-reference.com/boxscores/201410160LAK.html,2014-10-16,St. Louis Blues,Los Angeles Kings,0,1
52,http://www.hockey-reference.com/boxscores/201410160MTL.html,2014-10-16,Boston Bruins,Montreal Canadiens,4,6
53,http://www.hockey-reference.com/boxscores/201410160NYI.html,2014-10-16,San Jose Sharks,New York Islanders,3,4
54,http://www.hockey-reference.com/boxscores/201410160NYR.html,2014-10-16,Carolina Hurricanes,New York Rangers,1,2
55,http://www.hockey-reference.com/boxscores/201410160OTT.html,2014-10-16,Colorado Avalanche,Ottawa Senators,3,5
56,http://www.hockey-reference.com/boxscores/201410160PIT.html,2014-10-16,Dallas Stars,Pittsburgh Penguins,3,2
57,http://www.hockey-reference.com/boxscores/201410160WSH.html,2014-10-16,New Jersey Devils,Washington Capitals,2,6
58,http://www.hockey-reference.com/boxscores/201410170ANA.html,2014-10-17,Minnesota Wild,Anaheim Ducks,1,2
59,http://www.hockey-reference.com/boxscores/201410170BUF.html,2014-10-17,Florida Panthers,Buffalo Sabres,1,0
60,http://www.hockey-reference.com/boxscores/201410170CBJ.html,2014-10-17,Calgary Flames,Columbus Blue Jackets,2,3
61,http://www.hockey-reference.com/boxscores/201410170EDM.html,2014-10-17,Vancouver Canucks,Edmonton Oilers,2,0
62,http://www.hockey-reference.com/boxscores/201410170TOR.html,2014-10-17,Detroit Red Wings,Toronto Maple Leafs,4,1
63,http://www.hockey-reference.com/boxscores/201410170WPG.html,2014-10-17,Nashville Predators,Winnipeg Jets,2,0
64,http://www.hockey-reference.com/boxscores/201410180ARI.html,2014-10-18,St. Louis Blues,Arizona Coyotes,6,1
65,http://www.hockey-reference.com/boxscores/201410180BUF.html,2014-10-18,Boston Bruins,Buffalo Sabres,4,0
66,http://www.hockey-reference.com/boxscores/201410180CHI.html,2014-10-18,Nashville Predators,Chicago Blackhawks,1,2
67,http://www.hockey-reference.com/boxscores/201410180DAL.html,2014-10-18,Philadelphia Flyers,Dallas Stars,6,5
68,http://www.hockey-reference.com/boxscores/201410180DET.html,2014-10-18,Toronto Maple Leafs,Detroit Red Wings,0,1
69,http://www.hockey-reference.com/boxscores/201410180MTL.html,2014-10-18,Colorado Avalanche,Montreal Canadiens,2,3
70,http://www.hockey-reference.com/boxscores/201410180NJD.html,2014-10-18,San Jose Sharks,New Jersey Devils,4,2
71,http://www.hockey-reference.com/boxscores/201410180OTT.html,2014-10-18,Columbus Blue Jackets,Ottawa Senators,2,3
72,http://www.hockey-reference.com/boxscores/201410180PIT.html,2014-10-18,New York Islanders,Pittsburgh Penguins,1,3
73,http://www.hockey-reference.com/boxscores/201410180VAN.html,2014-10-18,Tampa Bay Lightning,Vancouver Canucks,4,2
74,http://www.hockey-reference.com/boxscores/201410180WSH.html,2014-10-18,Florida Panthers,Washington Capitals,1,2
75,http://www.hockey-reference.com/boxscores/201410190ANA.html,2014-10-19,St. Louis Blues,Anaheim Ducks,0,3
76,http://www.hockey-reference.com/boxscores/201410190LAK.html,2014-10-19,Minnesota Wild,Los Angeles Kings,1,2
77,http://www.hockey-reference.com/boxscores/201410190NYR.html,2014-10-19,San Jose Sharks,New York Rangers,0,4
78,http://www.hockey-reference.com/boxscores/201410190WPG.html,2014-10-19,Calgary Flames,Winnipeg Jets,4,1
79,http://www.hockey-reference.com/boxscores/201410200EDM.html,2014-10-20,Tampa Bay Lightning,Edmonton Oilers,2,3
80,http://www.hockey-reference.com/boxscores/201410210BOS.html,2014-10-21,San Jose Sharks,Boston Bruins,3,5
81,http://www.hockey-reference.com/boxscores/201410210CGY.html,2014-10-21,Tampa Bay Lightning,Calgary Flames,2,1
82,http://www.hockey-reference.com/boxscores/201410210CHI.html,2014-10-21,Philadelphia Flyers,Chicago Blackhawks,0,4
83,http://www.hockey-reference.com/boxscores/201410210COL.html,2014-10-21,Florida Panthers,Colorado Avalanche,4,3
84,http://www.hockey-reference.com/boxscores/201410210DAL.html,2014-10-21,Vancouver Canucks,Dallas Stars,3,6
85,http://www.hockey-reference.com/boxscores/201410210MTL.html,2014-10-21,Detroit Red Wings,Montreal Canadiens,1,2
86,http://www.hockey-reference.com/boxscores/201410210NJD.html,2014-10-21,New York Rangers,New Jersey Devils,4,3
87,http://www.hockey-reference.com/boxscores/201410210NSH.html,2014-10-21,Arizona Coyotes,Nashville Predators,3,4
88,http://www.hockey-reference.com/boxscores/201410210NYI.html,2014-10-21,Toronto Maple Leafs,New York Islanders,5,2
89,http://www.hockey-reference.com/boxscores/201410210WPG.html,2014-10-21,Carolina Hurricanes,Winnipeg Jets,1,3
90,http://www.hockey-reference.com/boxscores/201410220ANA.html,2014-10-22,Buffalo Sabres,Anaheim Ducks,1,4
91,http://www.hockey-reference.com/boxscores/201410220EDM.html,2014-10-22,Washington Capitals,Edmonton Oilers,2,3
92,http://www.hockey-reference.com/boxscores/201410220PIT.html,2014-10-22,Philadelphia Flyers,Pittsburgh Penguins,5,3
93,http://www.hockey-reference.com/boxscores/201410230BOS.html,2014-10-23,New York Islanders,Boston Bruins,3,2
94,http://www.hockey-reference.com/boxscores/201410230CGY.html,2014-10-23,Carolina Hurricanes,Calgary Flames,0,5
95,http://www.hockey-reference.com/boxscores/201410230DET.html,2014-10-23,Pittsburgh Penguins,Detroit Red Wings,3,4
96,http://www.hockey-reference.com/boxscores/201410230LAK.html,2014-10-23,Buffalo Sabres,Los Angeles Kings,0,2
97,http://www.hockey-reference.com/boxscores/201410230MIN.html,2014-10-23,Arizona Coyotes,Minnesota Wild,0,2
98,http://www.hockey-reference.com/boxscores/201410230NSH.html,2014-10-23,Chicago Blackhawks,Nashville Predators,2,3
99,http://www.hockey-reference.com/boxscores/201410230SJS.html,2014-10-23,Columbus Blue Jackets,San Jose Sharks,5,4
100,http://www.hockey-reference.com/boxscores/201410230STL.html,2014-10-23,Vancouver Canucks,St. Louis Blues,4,1
101,http://www.hockey-reference.com/boxscores/201410240ANA.html,2014-10-24,Columbus Blue Jackets,Anaheim Ducks,1,4
102,http://www.hockey-reference.com/boxscores/201410240COL.html,2014-10-24,Vancouver Canucks,Colorado Avalanche,3,7
103,http://www.hockey-reference.com/boxscores/201410240EDM.html,2014-10-24,Carolina Hurricanes,Edmonton Oilers,3,6
104,http://www.hockey-reference.com/boxscores/201410240NJD.html,2014-10-24,Dallas Stars,New Jersey Devils,3,2
105,http://www.hockey-reference.com/boxscores/201410240WPG.html,2014-10-24,Tampa Bay Lightning,Winnipeg Jets,4,2
106,http://www.hockey-reference.com/boxscores/201410250ARI.html,2014-10-25,Florida Panthers,Arizona Coyotes,1,2
107,http://www.hockey-reference.com/boxscores/201410250CGY.html,2014-10-25,Washington Capitals,Calgary Flames,3,1
108,http://www.hockey-reference.com/boxscores/201410250MIN.html,2014-10-25,Tampa Bay Lightning,Minnesota Wild,2,7
109,http://www.hockey-reference.com/boxscores/201410250MTL.html,2014-10-25,New York Rangers,Montreal Canadiens,1,3
110,http://www.hockey-reference.com/boxscores/201410250NSH.html,2014-10-25,Pittsburgh Penguins,Nashville Predators,3,0
111,http://www.hockey-reference.com/boxscores/201410250NYI.html,2014-10-25,Dallas Stars,New York Islanders,5,7
112,http://www.hockey-reference.com/boxscores/201410250OTT.html,2014-10-25,New Jersey Devils,Ottawa Senators,3,2
